Triangle,Anum,Trait,Sequence
Delannoy,A006139,BinConv,[1 2 8 32 136 592 2624 11776 53344 243392 1116928 5149696 23835904 ]
Delannoy,A059304,InvBinConv,[1 0 -4 0 24 0 -160 0 1120 0 -8064 0 59136 0 -439296 0 3294720 0 ]
Delannoy,,TransNat0,[0 1 5 18 58 175 507 1428 3940 10701 28705 76230 200766 525083 ]
Delannoy,A026937,TransNat1,[1 3 10 30 87 245 676 1836 4925 13079 34446 90090 234227 605865 ]
Delannoy,,TransSqrs,[0 1 7 34 138 503 1709 5524 17204 52061 153971 446934 1277310 ]
Delannoy,A004273,DiagRow1,[1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 ]
Delannoy,A001844,DiagRow2,[1 5 13 25 41 61 85 113 145 181 221 265 313 365 421 481 545 613 685 ]
Delannoy,A001845,DiagRow3,[1 7 25 63 129 231 377 575 833 1159 1561 2047 2625 3303 4089 4991 ]
Delannoy,A004273,DiagCol1,[1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 ]
Delannoy,A001844,DiagCol2,[1 5 13 25 41 61 85 113 145 181 221 265 313 365 421 481 545 613 685 ]
Delannoy,A001845,DiagCol3,[1 7 25 63 129 231 377 575 833 1159 1561 2047 2625 3303 4089 4991 ]
Delannoy,,PolyTabl,[1 1 1 1 2 1 1 5 3 1 1 12 11 4 1 1 29 39 19 5 1 1 70 139 88 29 6 1 ]
Delannoy,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Delannoy,A028387,PolyRow2,[1 5 11 19 29 41 55 71 89 109 131 155 181 209 239 271 305 341 379 ]
Delannoy,,PolyRow3,[1 12 39 88 165 276 427 624 873 1180 1551 1992 2509 3108 3795 4576 ]
Delannoy,A007482,PolyCol2,[1 3 11 39 139 495 1763 6279 22363 79647 283667 1010295 3598219 ]
Delannoy,A015530,PolyCol3,[1 4 19 88 409 1900 8827 41008 190513 885076 4111843 19102600 ]
Delannoy,,PolyDiag,[1 2 11 88 941 12546 200479 3735264 79524793 1905008050 50720779691 ]
Delannoy,A007482,PosHalf,[1 3 11 39 139 495 1763 6279 22363 79647 283667 1010295 3598219 ]
Delannoy,A001607,NegHalf,[1 -1 -1 3 -1 -5 7 3 -17 11 23 -45 -1 91 -89 -93 271 -85 -457 627 ]
